english,swedish,notes
average treatment effect (ATE),genomsnittlig behandlingseffekt,
average treatment effect on the treated (ATT),genomsnittlig behandlingseffekt på de behandlade,
bunching estimator,bunching-estimator,
causal forest,kausal skog,
causal inference,kausal inferens,
complier average causal effect (CACE),genomsnittlig kausaleffekt bland följare,Also called LATE
conditional average treatment effect (CATE),villkorlig genomsnittlig behandlingseffekt,
counterfactual,kontrafaktisk,
debiased machine learning,avbiasad maskininlärning,Also: double ML
difference-in-differences (DiD),skillnad-i-skillnader,
directed acyclic graph (DAG),riktad acyklisk graf,
double machine learning (DML),dubbel maskininlärning,
event study,eventstudie,
exclusion restriction,exkluderingskriterium,IV assumption
fuzzy regression discontinuity,inexakt regressionssprångdesign,
heteroskedasticity,heteroskedasticitet,
heteroskedasticity-consistent standard errors,robusta standardfel,Also: robust SE
homoskedasticity,homoskedasticitet,
intention-to-treat (ITT),behandlingsavsiktsanalys,
inverse probability weighting (IPW),invers sannolikhetsviktning,
local average treatment effect (LATE),lokal genomsnittlig behandlingseffekt,
machine learning,maskininlärning,
natural experiment,naturligt experiment,
omitted variable bias,snedvridning från utelämnade variabler,
parallel trends assumption,parallella trender,DiD key assumption
placebo test,placebotest,
pre-trend test,förtrendstest,
propensity score,benägenhetspoäng,
propensity score matching,propensity score-matchning,
randomised controlled trial (RCT),randomiserad kontrollerad studie,
regression discontinuity design (RDD),regressionssprångdesign,
regression kink design (RKD),regressionskröksdesign,
sharp regression discontinuity,skarp regressionssprångdesign,
staggered adoption design,stegvis implementeringsdesign,
staggered difference-in-differences,stegvis skillnad-i-skillnader,
synthetic control method,syntetisk kontrollmetod,
treatment effect heterogeneity,heterogenitet i behandlingseffekter,
triple differences (DDD),trippeldifferenser,
two-way fixed effects (TWFE),tvåvägs fixa effekter,
weak instrument,svagt instrument,
random effects model,modell med slumpmässiga effekter,
fixed effects model,modell med fixa effekter,
