english,swedish,source,notes
abnormal curve,abnorm kurva,ISI,
abrupt change,plötslig förändring,ISI,
absolute deviation ; average deviation,absolutavvikelse,ISI,
absolute difference,absolut skillnad,ISI,
absolute error,absolutfel,ISI,
absolute frequency,absolut frekvens,ISI,
absolute measure,absolutmått,ISI,
absolute moments,absolutmoment,ISI,
absolute risk,absolut risk,ISI,
absolutely unbiased estimator,absolut väntevärdesriktig estimator,ISI,
absorbing barrier,absorberande barriär,ISI,
absorbing Markov chain,absorberande markovkedja,ISI,
absorbing region,absorberande regioner,ISI,
absorbing state,absorberande tillstånd,ISI,
absorption distributions,absorptionsfördelning,ISI,
accelerated life testing,accelererad livlängdsprovning,ISI,
accelerated test,accelererad provning,ISI,
acceptable quality level ; AQL ; acceptance quality level,acceptabel kvalitetsnivå,ISI,
acceptance control chart,acceptansstyrdiagram; acceptanskontrolldiagram,ISI,
acceptance error ; beta error ; β-error ; type II error ; error of second kind,typ II-fel; fel av andra slaget,ISI,
acceptance inspection,acceptanskontroll,ISI,
acceptance line ; acceptance boundary,acceptansgräns,ISI,
acceptance number,acceptanstal,ISI,
acceptance region,acceptansområde,ISI,
acceptance sampling,acceptansprovtagning,ISI,
accumulated deviation,kumulativ avvikelse,ISI,
accumulated process,kumulativ process,ISI,
accuracy,noggrannhet,ISI,
actuarial statistics,aktuariestatistik,ISI,
adaptive inference,adaptiv inferens,ISI,
adaptive kernel estimation,adaptiv kärnskattning,ISI,
adaptive methods,adaptiv metod,ISI,
adaptive optimisation ; adaptive optimization,adaptiv optimering,ISI,
adaptive regression,adaptiv regression,ISI,
additive hazard model,additiv hasardmodell,ISI,
additive model,additiv modell,ISI,
additive process ; random walk process,additiv process,ISI,
adequate subset,adekvat delmängd,ISI,
adjusted profile likelihood,justerad profil-likelihood,ISI,
admissible decision function,icke-dominerad beslutsfunktion,ISI,
admissible estimator,icke-dominerad estimator,ISI,
admissible hypothesis,tillåten hypotes,ISI,
admissible strategy,icke-dominerad strategi,ISI,
admissible test,icke-dominerat test,ISI,
affinity,affinitet,ISI,
age-adjusted rate,ålderskorrigerad intensitet,ISI,
age-dependent birth and death process,åldersberoende födelse-dödsprocess,ISI,
age-dependent branching process,åldersberoende förgreningsprocess,ISI,
age-sex-adjusted rate,intensitet justerad för ålder och kön,ISI,
age-specific death rate ; force of mortality ; instantaneous death rate ; hazard function,åldersspecifikt dödstal,ISI,
age-specific mortality rate,åldersspecifik dödsintensitet,ISI,
age-specific rate,åldersspecifik intensitet,ISI,
aggregation,aggregering,ISI,
algorithm,algoritm,ISI,
allele,allel,ISI,
allocation of a sample,stickprovsallokering,ISI,
allocation rule,allokeringsregel,ISI,
allokurtic,oliktoppig,ISI,
allowable defects,acceptanstal,ISI,
almost certain,nästan säker,ISI,
almost certainly,nästan säkert,ISI,
almost everywhere,nästan överallt,ISI,
almost stationary,nästan stationär,ISI,
almost surely,nästan säkert,ISI,
alpha error ; α-error ; type I error ; error of first kind ; rejection error,typ I-fel; fel av första slaget,ISI,
alternating process,alternerande process,ISI,
alternating renewal process,alternerande förnyelseprocess,ISI,
alternative hypothesis ; non-null hypothesis,mothypotes; alternativhypotes,ISI,
amount of information,informationsmängd,ISI,
amount of inspection,kontrollomfattning,ISI,
amplitude,amplitud,ISI,
amplitude ratio,amplitudkvot,ISI,
analysis of covariance ; ANCOVA ; covariance analysis,kovariansanalys; ANCOVA,ISI,
analysis of dispersion ; multivariate analysis of variance ; MANOVA,multivariat variansanalys; MANOVA,ISI,
analysis of variance ; ANOVA ; variance analysis,variansanalys; ANOVA,ISI,
ancillary information ; background information,ancillär information,ISI,
ancillary statistic,ancillär statistika,ISI,
angular transformation ; arc sine transformation,vinkeltransformation,ISI,
angular variables,vinkelvariabel,ISI,
anisotropic distribution,anisotropisk fördelning,ISI,
ANOVA table,variansanalystabell,ISI,
antithetic variables,antitetisk variabel,ISI,
aperiodic state,aperiodiskt tillstånd,ISI,
approximation error,approximationsfel,ISI,
arbitrary origin ; working mean ; working origin ; provisional mean ; assumed mean,provisoriskt medelvärde,ISI,
arc sine distribution,arcsinus-fördelning,ISI,
area sampling,yturval; areellt urval,ISI,
arithmetic mean ; arithmetic average ; mean ; average,aritmetiskt medelvärde,ISI,
array ; ordered series,uppställning,ISI,
arrival distribution,ankomstfördelning,ISI,
assay,assay,ISI,
assignable variation,hänförbar variation,ISI,
association,samband,ISI,
association analysis,sambandsanalys,ISI,
asymmetrical distribution,asymmetrisk fördelning,ISI,
asymmetrical factorial design,asymmetriskt faktorförsök,ISI,
asymmetrical test ; one-sided test ; one-tailed test ; single tail test,asymmetriskt test,ISI,
asymmetry ; skewness,asymmetri,ISI,
asymptotic distribution,asymptotisk fördelning,ISI,
asymptotic efficiency,asymptotisk effektivitet,ISI,
asymptotic normality,asymptotisk normalitet,ISI,
asymptotic relative efficiency ; ARE,asymptotisk relativ effektivitet,ISI,
asymptotic standard error,asymptotiskt medelfel,ISI,
asymptotic test,asymptotiskt test,ISI,
asymptotically efficient estimator,asymptotisk effektiv estimator,ISI,
asymptotically most powerful test,asymptotiskt starkaste test,ISI,
asymptotically stationary,asymptotiskt stationär,ISI,
asymptotically unbiased estimator,asymptotiskt väntevärdesriktig estimator,ISI,
attributable risk ; etiologic fraction,hänförbar risk,ISI,
attribute,attribut,ISI,
autocorrelation ; serial correlation,autokorrelation,ISI,
autocorrelation coefficient,autokorrelationskoefficient,ISI,
autocorrelation function ; ACF,autokorrelationsfunktion,ISI,
autocovariance,autokovarians,ISI,
autocovariance function ; covariance function,autokovariansfunktion,ISI,
autocovariance generating function,autokovariansgenererande funktion,ISI,
automatic model selection,automatiskt modellval,ISI,
autonomous equations,autonom ekvation,ISI,
autoregression,autoregression,ISI,
autoregressive conditional heteroscedasticity model ; ARCH model,ARCH-modell,ISI,
autoregressive integrated moving average process ; ARIMA process,ARIMA-process,ISI,
autoregressive model,autoregressiv modell,ISI,
autoregressive moving average process ; ARMA process ; Box-Jenkins model,ARMA-process,ISI,
autoregressive process,autoregressiv process,ISI,
autoregressive series,autoregressiv serie,ISI,
autoregressive transformation,autoregressiv transformation,ISI,
average amount of inspection,genomsnittlig kontrollomfattning,ISI,
average deviation ; mean deviation ; mean absolute deviation ; mean absolute error,genomsnittlig absolutavvikelse,ISI,
average outgoing quality level ; AOQ,genomsnittlig utgående kvalitet; AOQ,ISI,
average outgoing quality limit ; AOQL,"gräns för genomsnittlig utgående kvalitet, AOQL",ISI,
average run length ; ARL ; average sample run length,genomsnittlig svitlängd,ISI,
average sample number curve,kurva för genomsnittligt provuttag,ISI,
average sample number function ; ASN function,funktion för genomsnittligt provuttag,ISI,
average treatment effect (ATE),genomsnittlig behandlingseffekt,Lodefalk,
average treatment effect on the treated (ATT),genomsnittlig behandlingseffekt på de behandlade,Lodefalk,
axial distribution,axialfördelning,ISI,
backcalculation ; backprojection,bakåtprojektion,ISI,
backward equations,bakåtekvationer,ISI,
backward process,bakåtprocess,ISI,
balanced factorial experimental design,balanserad faktor-design,ISI,
balanced incomplete block,balanserat ofullständigt block-,ISI,
balanced lattice square,balanserad gitterkvadrat,ISI,
balanced sample,balanserat urval,ISI,
bandwidth,bandvidd,ISI,
bar chart,stapeldiagram,ISI,
base,bas,ISI,
base line,baslinje,ISI,
base period ; reference period,basperiod,ISI,
base weight,basvikt,ISI,
batch variation,partivariation,ISI,
bell-shaped curve,klockformad kurva,ISI,
Bernoulli distribution ; binomial distribution ; point binomial,binomialfördelning,ISI,
Bernoulli trials,bernoulliförsök,ISI,
best estimator ; optimum statistic,bästa estimator,ISI,
best fit,bästa anpassning,ISI,
best linear unbiased estimator ; BLUE,bästa linjära väntevärdesriktiga estimator; BLUE,ISI,
beta coefficients,betakoefficient,ISI,
beta distribution,betafördelning,ISI,
beta-binomial distribution ; compound binomial distribution,beta-binomialfördelning,ISI,
between-groups variance,mellangruppsvarians,ISI,
bias,bias; systematiskt fel,ISI,
biased coin design,obalanserad försöksplan,ISI,
biased estimator,estimator med bias; icke-väntevärdesriktig estimator,ISI,
biased sample,urval med bias,ISI,
biased test,test med bias,ISI,
bilinear model,bilinjär modell,ISI,
bimodal distribution,bimodal fördelning,ISI,
binary data ; binary variable ; dichotomous variable,binär variabel,ISI,
binomial waiting time distribution ; negative binomial distribution ; Pascal distribution,negativ binomialfördelning,ISI,
bioassay ; biological assay,bioassay,ISI,
bioequivalence test,bioekvivalenstest,ISI,
bioinformatics,bioinformatik,ISI,
biometric functions,biometrisk funktion,ISI,
biostatistics,biostatistik,ISI,
bipolar factor,bipolär faktor,ISI,
birth and death process,födelse-dödsprocess,ISI,
birth process,födelseprocess,ISI,
birth rate,födelsetal,ISI,
biserial correlation,biserial korrelation,ISI,
bivariate distribution,bivariat fördelning,ISI,
blinding,blindning; maskering,ISI,
block,block,ISI,
bootstrap methods,bootstrap-metod,ISI,
bootstrap test,bootstrap-test,ISI,
box and whisker plot,lådagram med morrhår,ISI,
box plot,lådagram,ISI,
branching process ; Galton-Watson process ; multiplicative process,förgreningsprocess,ISI,
break point ; change point,brytpunkt,ISI,
Brownian bridge,brownsk brygga,ISI,
Brownian motion process,brownsk rörelseprocess,ISI,
Bruceton method ; staircase method ; up and down method,gafflingsmetod,ISI,
bulk sampling,bulkprovtagning,ISI,
bunching estimator,bunching-estimator,Lodefalk,
busy period,upptagetperiod,ISI,
calibration,kalibrering,ISI,
call-back,återkontakt,ISI,
canonical,kanonisk,ISI,
canonical correlation,kanonisk korrelation,ISI,
